Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
|    n_updates            | 3230      |
|    policy_gradient_loss | -0.0295   |
|    std                  | 0.687     |
|    value_loss           | 1.01      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 854         |
| time/                   |             |
|    fps                  | 1309        |
|    iterations           | 325         |
|    time_elapsed         | 508         |
|    total_timesteps      | 665600      |
| train/                  |             |
|    approx_kl            | 0.034798034 |
|    clip_fraction        | 0.385       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.4       |
|    explained_variance   | 0.9443717   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.47        |
|    n_updates            | 3240        |
|    policy_gradient_loss | -0.0336     |
|    std                  | 0.685       |
|    value_loss           | 1.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 853         |
| time/                   |             |
|    fps                  | 1309        |
|    iterations           | 326         |
|    time_elapsed         | 509         |
|    total_timesteps      | 667648      |
| train/                  |             |
|    approx_kl            | 0.035054073 |
|    clip_fraction        | 0.365       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.4       |
|    explained_variance   | 0.943401    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.189       |
|    n_updates            | 3250        |
|    policy_gradient_loss | -0.0276     |
|    std                  | 0.681       |
|    value_loss           | 0.763       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.74e+03    |
|    ep_rew_mean          | 856         |
| time/                   |             |
|    fps                  | 1307        |
|    iterations           | 327         |
|    time_elapsed         | 512         |
|    total_timesteps      | 669696      |
| train/                  |             |
|    approx_kl            | 0.038090676 |
|    clip_fraction        | 0.369       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.3       |
|    explained_variance   | 0.9518718   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.28        |
|    n_updates            | 3260        |
|    policy_gradient_loss | -0.0316     |
|    std                  | 0.68        |
|    value_loss           | 1.21        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 855         |
| time/                   |             |
|    fps                  | 1303        |
|    iterations           | 328         |
|    time_elapsed         | 515         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.039528072 |
|    clip_fraction        | 0.41        |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.3       |
|    explained_variance   | 0.9180465   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.182       |
|    n_updates            | 3270        |
|    policy_gradient_loss | -0.0323     |
|    std                  | 0.682       |
|    value_loss           | 0.92        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 857         |
| time/                   |             |
|    fps                  | 1301        |
|    iterations           | 329         |
|    time_elapsed         | 517         |
|    total_timesteps      | 673792      |
| train/                  |             |
|    approx_kl            | 0.042096682 |
|    clip_fraction        | 0.418       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.3       |
|    explained_variance   | 0.91953284  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.101       |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.0236     |
|    std                  | 0.68        |
|    value_loss           | 0.986       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 857         |
